Data,PM25,d3_mean,weekly_mean,month_max,month_std,expanding_mean,expanding_median,nested_mean,lag1d,day_of_week,month_number,season,trend,seasonal,resid
2022-04-18,7.928502,8.2852,12.225555571428572,45.629708,11.81483850927195,14.916598981308411,10.903622,11.877361857142859,7.438654,0,4,1,10.829379642351377,-0.31004586975993687,-2.5908317725914394
2022-04-19,6.368109,6.156539666666667,12.432901142857144,45.629708,10.9986388253899,14.851894379629629,10.8947185,12.257499857142859,7.928502,1,4,1,10.65124845029064,0.4246045486110751,-4.707743998901715
2022-04-20,11.901544,7.2450883333333325,11.245869,45.629708,10.847752743156375,14.774061486238532,10.885815,12.232459095238095,6.368109,2,4,1,10.420404773776669,-2.042299448007516,3.523438674230846
2022-04-21,12.355086,8.732718333333333,10.530545428571429,45.629708,10.600086267414218,14.74794769090909,10.8947185,11.968108571428571,11.901544,3,4,1,10.217510604549291,-1.6057476755236486,3.7433230709743572
2022-04-22,11.393489,10.208246333333333,9.058405857142857,45.629708,9.430530543832763,14.726390378378378,10.903622,11.403105190476191,12.355086,4,4,1,10.130479054104036,-0.8827040722370687,2.1457140181330328
2022-04-23,13.044504,11.883373,8.641121,34.34431,7.185366937071957,14.696632330357144,11.0852305,10.278273428571428,11.393489,5,4,1,10.198357994103652,-0.23553217888644906,3.081678184782797
2022-04-24,11.429815,12.264359666666666,10.061412571428573,34.34431,6.336942746521264,14.682011725663717,11.266839,9.410024095238096,13.044504,6,4,1,10.387260211470407,0.4437738980868111,0.5987808904427823
2022-04-25,6.676657,11.955936,10.631578428571428,22.660063,4.655221086577945,14.653483684210526,11.330164,9.253646476190477,11.429815,0,4,1,10.615282163672967,2.0056061140295802,-5.9442312777025474
2022-04-26,7.492974,10.383658666666665,10.452743428571429,22.660063,4.4970905370519745,14.584119973913042,11.266839,9.778037333333332,6.676657,1,4,1,10.783243917327903,2.7006219686500064,-5.990891885977909
2022-04-27,9.343421,8.533148666666666,10.61343842857143,22.660063,4.503138753547083,14.522989405172414,11.0852305,10.381911476190476,7.492974,2,4,1,10.83932325642906,-0.5784854110399734,-0.9174168453890861
2022-04-28,11.974092,7.837683999999999,10.247992285714286,22.660063,4.441562792764015,14.478719589743589,10.903622,10.565920095238097,9.343421,3,4,1,10.803627414563076,-1.174854642254025,2.3453192276909487
2022-04-29,11.520842,9.603495666666667,10.19356457142857,22.660063,4.299229110136542,14.45749393220339,11.0852305,10.438058047619048,11.974092,4,4,1,10.703859784439953,0.25417610842210664,0.5628061071379413
2022-04-30,12.990005,10.946118333333333,10.211757857142857,22.660063,4.286071996870417,14.43281618487395,11.266839,10.351665095238094,11.520842,5,4,1,10.588782704064206,-0.27682783649995557,2.67805013243575
2022-05-01,15.929489,12.161646333333332,10.203972285714286,22.660063,4.277904501661886,14.420792758333333,11.330164,10.217771571428571,12.990005,6,5,1,10.527182876966853,0.5034806527747145,4.8988254702584335
2022-05-02,9.778789,13.480112,10.846782857142857,22.660063,4.342205445711612,14.43326132231405,11.393489,10.203098238095237,15.929489,0,5,1,10.540331256691536,-0.9159310443085052,0.15438878761696984
2022-05-03,8.07347,12.899427666666668,11.289944571428572,22.660063,4.334133680180603,14.395109909836066,11.330164,10.420837666666667,9.778789,1,5,1,10.593730128279564,-1.5551121809875783,-0.9651479472919853
2022-05-04,9.86977,11.260582666666666,11.372872571428571,22.660063,4.2783954507125825,14.343714463414635,11.266839,10.780233238095239,8.07347,2,5,1,10.625039586540295,-0.7320975041612569,-0.023172082379037562
2022-05-05,11.502386,9.240676333333333,11.448065285714284,22.660063,4.276558148845251,14.307634266129032,11.0852305,11.169866666666666,9.86977,3,5,1,10.572429653705262,-0.09697134972024064,1.0269276960149778
2022-05-06,8.926174,9.815208666666667,11.380678714285713,22.660063,4.234094308967826,14.285192279999999,11.266839,11.370294142857142,11.502386,4,5,1,10.411260844570714,0.08259169149672978,-1.5676785360674437
2022-05-07,11.411797,10.099443333333333,11.010011857142858,22.660063,4.111260069659542,14.24266038888889,11.0852305,11.400538857142859,8.926174,5,5,1,10.172440836686121,2.0062455641638866,-0.7668894008500082
2022-05-08,7.855745,10.613452333333333,10.784553571428571,22.660063,4.097927752555272,14.220370125984253,11.266839,11.279585285714287,11.411797,6,5,1,9.907040989943033,1.9150045724320541,-3.9663005623750873
2022-05-09,7.365881,9.397905333333332,9.631161571428573,22.660063,3.967223133638692,14.1706464921875,11.0852305,11.058414714285714,7.855745,0,5,1,9.659803425110505,-1.405943888559802,-0.8879785365507029
2022-05-10,12.318801,8.877807666666667,9.286460428571429,22.660063,3.9358551347478348,14.117896372093023,10.903622,10.475242333333332,7.365881,1,5,1,9.483902070381765,-0.8608616782232206,3.6957606078414553
2022-05-11,14.151585,9.180142333333334,9.892936285714285,22.660063,3.8570668041985328,14.104057176923076,11.0852305,9.90072519047619,12.318801,2,5,1,9.423741585149427,1.3628002986757575,3.3650431161748156
2022-05-12,9.760948,11.278755666666669,10.504624142857143,22.660063,3.8169782980083284,14.104419984732825,11.266839,9.60351942857143,14.151585,3,5,1,9.455712537309429,0.4276258327351634,-0.12239037004459163
2022-05-13,8.182296,12.077111333333335,10.255847285714285,22.660063,3.7598061606062134,14.071514893939394,11.0852305,9.89467361904762,9.760948,4,5,1,9.500252502146036,0.9265382334108404,-2.244494735556878
2022-05-14,7.366108,10.698276333333334,10.149579000000001,22.660063,3.610258165758748,14.02723505263158,10.903622,10.217802571428573,8.182296,5,5,1,9.495384129860923,-0.3633722225850066,-1.7659039072759173
2022-05-15,6.168472,8.436450666666667,9.57162342857143,15.929489,2.8420761475513476,13.977525149253731,10.8947185,10.303350142857143,7.366108,6,5,1,9.41862034023478,-1.7762138278226494,-1.4739345124121304
2022-05-16,8.164154,7.238958666666666,9.330584428571429,15.929489,2.8104393583897394,13.919680311111112,10.885815,9.992349904761905,6.168472,0,5,1,9.257729804235275,-0.799076834252668,-0.29449896998260705
2022-05-17,7.039507,7.232911333333334,9.444623428571429,15.929489,2.5335750793235428,13.877360264705882,10.613688499999999,9.683928952380954,8.164154,1,5,1,9.008284019919097,-1.1541943668722245,-0.8145826530468714
2022-05-18,8.109932,7.124044333333333,8.69043857142857,15.929489,2.5482567565596175,13.8274489270073,10.341562,9.448943761904763,7.039507,2,5,1,8.688542672290776,-0.8714355716701467,0.2928248993793723
2022-05-19,16.328515,7.771197666666667,7.827345285714286,15.929489,2.543522326145242,13.786017644927536,10.3323405,9.155215476190477,8.109932,3,5,1,8.336725325286388,2.4654827287732246,5.526306945940387
2022-05-20,16.872799,10.492651333333333,8.765569142857142,16.328515,2.7049563168170963,13.804308992805757,10.341562,8.654135761904763,16.328515,4,5,1,8.004996912790656,1.5381486327052303,7.329653454504115
2022-05-21,6.168651,13.770415333333332,10.007069571428572,16.872799,2.948933103792497,13.82622677857143,10.613688499999999,8.427784333333333,16.872799,5,5,1,7.71105683752729,-2.3199450750242914,0.7775392374969998
2022-05-22,2.75775,13.123321666666667,9.836004285714285,16.872799,3.0261650838435346,13.771917730496455,10.341562,8.866661333333335,6.168651,6,5,1,7.413730542428924,-0.44271660723598705,-4.213263935192937
2022-05-23,5.823763,8.599733333333333,9.348758285714286,16.872799,3.3101026771743314,13.694353169014084,10.3323405,9.536214333333334,2.75775,0,5,1,7.065278202195558,2.249719673794601,-3.4912348759901595
2022-05-24,7.510994,4.916721333333333,9.014416714285714,16.872799,3.3399090484421143,13.639314076923077,10.323119,9.730610714285715,5.823763,1,5,1,6.660754762285774,-0.11200752197074365,0.9622467596849695
2022-05-25,6.458753,5.364169,9.081771999999999,16.872799,3.3470264773564358,13.59675629861111,10.2414775,9.399726428571428,7.510994,2,5,1,6.237797499835316,1.1959745021518664,-0.9750190019871825
2022-05-26,5.297629,6.597836666666666,8.845889285714284,16.872799,3.3537766671957376,13.547528689655172,10.159836,9.148315666666667,6.458753,3,5,1,5.848603643454963,1.009070323118596,-1.5600449665735594
2022-05-27,3.120606,6.4224586666666665,7.270048428571428,16.872799,3.423964407749619,13.49102252739726,10.096319000000001,8.980692666666666,5.297629,4,5,1,5.535965404623428,-1.330654746368834,-1.0847046582545943
2022-05-28,3.320089,4.958996,5.305449428571428,16.872799,3.6168816218617725,13.420475476190477,10.032802,8.399236571428572,3.120606,5,5,1,5.3414278730270395,-1.290003194620642,-0.7313356784063973
2022-05-29,2.84846,3.912774666666666,4.898511999999999,16.872799,3.7387521639218497,13.352229621621621,9.969429,7.140462380952381,3.320089,6,5,1,5.300776476182306,-2.771076793873387,0.3187603176910807
2022-05-30,4.771468,3.096385,4.911470571428572,16.872799,3.870461949121587,13.281734523489934,9.906056,5.824669952380952,2.84846,0,5,1,5.426905138207187,-1.0421930197083171,0.38675588150112983
2022-05-31,5.225163,3.646672333333333,4.761142714285714,16.872799,3.848290573549889,13.224999413333334,9.896939499999998,5.038477333333334,4.771468,1,5,1,5.678065431301634,2.950323029591039,-3.4032254608926724
2022-06-01,4.626329,4.281697,4.434595428571428,16.872799,3.6195507167669407,13.172020364238412,9.887823,4.857041761904761,5.225163,2,6,2,5.969817789661385,2.0160187847498543,-3.3595075744112393
2022-06-02,3.066104,4.87432,4.172820571428572,16.872799,3.6584431699843423,13.115798710526315,9.8787965,4.702402904761905,4.626329,3,6,2,6.251387997560332,-2.150742962793202,-1.0345410347671304
2022-06-03,6.585894,4.305865333333333,3.8540312857142855,16.872799,3.7635984022854223,13.050114431372549,9.86977,4.4561862380952375,3.066104,4,6,2,6.528536598488501,-0.6776570869487383,0.7350144884602363
2022-06-04,11.502386,4.759442333333333,4.349072428571429,16.872799,3.74743051079386,13.008138974025975,9.8242795,4.153815761904761,6.585894,5,6,2,6.812845204548706,1.828486394946685,2.8610544005046084
2022-06-05,5.098061,7.051461333333333,5.517972,16.872799,3.74743051079386,12.998424438709677,9.86977,4.125308095238095,11.502386,6,6,2,7.0892176117712635,-1.0682841824598157,-0.9228724293114476
2022-06-06,10.250828,7.728780333333333,5.8393435714285715,16.872799,3.767139035680067,12.947781083333334,9.8242795,4.573691904761904,5.098061,0,6,2,7.345769933642685,1.4705778895439374,1.434480176813378
2022-06-07,11.86556,8.950425000000001,6.622109285714286,16.872799,3.731461282060951,12.93060303821656,9.86977,5.235462666666666,10.250828,1,6,2,7.578628433619011,3.177157034336182,1.109774532044808
2022-06-08,9.724661,9.071483,7.570737428571428,16.872799,3.816578023558834,12.92386225949367,9.8787965,5.993141619047619,11.86556,2,6,2,7.783586778797417,-1.2035928621448182,3.1446670833474
2022-06-09,8.744811,10.613683,8.29907057142857,16.872799,3.8357467028371834,12.903741496855346,9.86977,6.677396761904761,9.724661,3,6,2,7.95349720182131,-2.1752008776720135,2.9665146758507035
2022-06-10,2.975386,10.111677333333333,9.110314428571428,16.872799,3.7411309009980376,12.877748181250002,9.8242795,7.497305761904762,8.744811,4,6,2,8.07998089533344,-2.4521836633873884,-2.6524112319460524
2022-06-11,5.225059,7.148285999999999,8.594527571428571,16.872799,3.6168929256939584,12.816242826086956,9.778789,8.326707476190476,2.975386,5,6,2,8.151213326315101,-0.48786852300502515,-2.4382858033100767
2022-06-12,11.447917,5.648418666666667,7.697766571428572,16.872799,3.6005355824813328,12.769383666666668,9.769868500000001,8.667970857142857,5.225059,6,6,2,8.165054263378957,1.7203746479152209,1.5624880887058215
2022-06-13,9.688094,6.549454,8.604888857142857,16.872799,3.6846429346573055,12.761276509202455,9.778789,8.46753619047619,11.447917,0,6,2,8.136320303487956,0.49989951011455824,1.0518741863974856
2022-06-14,4.499356,8.787023333333332,8.524498285714285,16.872799,3.713637512758903,12.742537591463416,9.769868500000001,8.299061,9.688094,1,6,2,8.092399476703042,-1.3895503230722208,-2.2034931536308218
