Data,d3_mean,month_std,lag1d,day_of_week,season,trend,seasonal
2022-05-17,7.232911333333334,2.5335750793235428,8.164154,1,1,9.008284019919097,-1.1541943668722245
2022-05-18,7.124044333333333,2.5482567565596175,7.039507,2,1,8.688542672290776,-0.8714355716701467
2022-05-19,7.771197666666667,2.543522326145242,8.109932,3,1,8.336725325286388,2.4654827287732246
2022-05-20,10.492651333333333,2.7049563168170963,16.328515,4,1,8.004996912790656,1.5381486327052303
2022-05-21,13.770415333333332,2.948933103792497,16.872799,5,1,7.71105683752729,-2.3199450750242914
2022-05-22,13.123321666666667,3.0261650838435346,6.168651,6,1,7.413730542428924,-0.44271660723598705
2022-05-23,8.599733333333333,3.3101026771743314,2.75775,0,1,7.065278202195558,2.249719673794601
2022-05-24,4.916721333333333,3.3399090484421143,5.823763,1,1,6.660754762285774,-0.11200752197074365
2022-05-25,5.364169,3.3470264773564358,7.510994,2,1,6.237797499835316,1.1959745021518664
2022-05-26,6.597836666666666,3.3537766671957376,6.458753,3,1,5.848603643454963,1.009070323118596
2022-05-27,6.4224586666666665,3.423964407749619,5.297629,4,1,5.535965404623428,-1.330654746368834
2022-05-28,4.958996,3.6168816218617725,3.120606,5,1,5.3414278730270395,-1.290003194620642
2022-05-29,3.912774666666666,3.7387521639218497,3.320089,6,1,5.300776476182306,-2.771076793873387
2022-05-30,3.096385,3.870461949121587,2.84846,0,1,5.426905138207187,-1.0421930197083171
2022-05-31,3.646672333333333,3.848290573549889,4.771468,1,1,5.678065431301634,2.950323029591039
2022-06-01,4.281697,3.6195507167669407,5.225163,2,2,5.969817789661385,2.0160187847498543
2022-06-02,4.87432,3.6584431699843423,4.626329,3,2,6.251387997560332,-2.150742962793202
2022-06-03,4.305865333333333,3.7635984022854223,3.066104,4,2,6.528536598488501,-0.6776570869487383
2022-06-04,4.759442333333333,3.74743051079386,6.585894,5,2,6.812845204548706,1.828486394946685
2022-06-05,7.051461333333333,3.74743051079386,11.502386,6,2,7.0892176117712635,-1.0682841824598157
2022-06-06,7.728780333333333,3.767139035680067,5.098061,0,2,7.345769933642685,1.4705778895439374
2022-06-07,8.950425000000001,3.731461282060951,10.250828,1,2,7.578628433619011,3.177157034336182
2022-06-08,9.071483,3.816578023558834,11.86556,2,2,7.783586778797417,-1.2035928621448182
2022-06-09,10.613683,3.8357467028371834,9.724661,3,2,7.95349720182131,-2.1752008776720135
2022-06-10,10.111677333333333,3.7411309009980376,8.744811,4,2,8.07998089533344,-2.4521836633873884
2022-06-11,7.148285999999999,3.6168929256939584,2.975386,5,2,8.151213326315101,-0.48786852300502515
2022-06-12,5.648418666666667,3.6005355824813328,5.225059,6,2,8.165054263378957,1.7203746479152209
2022-06-13,6.549454,3.6846429346573055,11.447917,0,2,8.136320303487956,0.49989951011455824
2022-06-14,8.787023333333332,3.713637512758903,9.688094,1,2,8.092399476703042,-1.3895503230722208
2022-06-15,8.545122333333333,3.7424232799549704,4.499356,2,2,8.050616530856788,0.3038893420509373
2022-06-16,7.408202,3.741332355646041,8.037156,3,2,8.02865065312897,1.4292587952224847
2022-06-17,7.099869666666667,3.7525339336921375,8.763097,4,2,8.061742624679367,-1.9300320307260028
2022-06-18,7.619956333333334,3.754509740955816,6.059616,5,2,8.163712222341367,1.5556514612674683
2022-06-19,8.158273333333334,3.370239767485849,9.652107,6,2,8.323269263576657,4.267183724419943
2022-06-20,10.190287,3.180141343514624,14.859138,0,2,8.511070963395143,-1.5283174367233163
2022-06-21,10.722469000000002,3.180492702985384,7.656162,1,2,8.71035579221959,-2.7164121543634665
2022-06-22,8.436447000000001,3.178863290664043,2.794041,2,2,8.91996475460552,-0.8361594811345862
2022-06-23,5.188802,3.1898571142208554,5.116203,3,2,9.11823899074567,-0.16617937501054594
2022-06-24,6.210833000000001,3.2643199626725576,10.722255,4,2,9.291203719122395,0.8429306475002677
2022-06-25,8.490807333333334,3.297470329159369,9.633964,5,2,9.456196634919223,-0.5184262113038844
2022-06-26,9.621766000000001,3.2888587531523723,8.509079,6,2,9.625077131254669,-0.4873917888015603
2022-06-27,10.190285666666668,3.32825355578074,12.427814,0,2,9.784687543584116,1.5885562145627667
2022-06-28,10.873596333333333,3.314306553047425,11.683896,1,2,9.90567879172706,1.119960245493253
2022-06-29,11.702074666666668,3.227023940421856,10.994514,2,2,9.96063740698672,-1.7935282777567625
2022-06-30,10.002735000000001,3.170054632919447,7.329795,3,2,9.931570931633882,0.26147097201658426
2022-07-01,10.408023333333334,3.2341661330602287,12.899761,4,2,9.794415137086482,3.320011092830751
2022-07-02,11.974291333333333,3.4133634278060065,15.693318,5,2,9.540230929883553,-1.6304918585696222
2022-07-03,10.601437666666667,3.405073628688878,3.211234,6,2,9.186699233764307,-3.2780728901392586
2022-07-04,8.381921333333333,3.4133329888564856,6.241212,0,2,8.77541110747946,0.1479701719776951
2022-07-05,8.666155000000002,3.6669896992293616,16.546019,1,2,8.35850487389201,0.053503395977163255
2022-07-06,10.819160333333334,3.595916136248918,9.67025,2,2,7.973205370203808,0.39514614151935823
2022-07-07,11.309018333333334,3.5977246928771107,7.710786,3,2,7.627046182342391,-0.713261110929982
2022-07-08,7.426530333333335,3.631922919227251,4.898555,4,2,7.3128985784157905,0.6577851135843301
2022-07-09,6.223011333333335,3.660595103854074,6.059693,5,2,7.042620120003218,2.0341425602580965
2022-07-10,6.8701240000000015,3.6650794902971073,9.652124,6,2,6.84536320537668,1.4981866133423505
2022-07-11,7.051581333333335,3.5585841259666173,5.442927,0,2,6.741272248641089,-0.12220172279368713
2022-07-12,6.452851333333335,3.5957580804223355,4.263503,1,2,6.734383740537599,-0.5085036373726092
2022-07-13,4.1970290000000015,3.711315102691976,2.884657,2,2,6.835184632946731,1.3470861375432894
2022-07-14,4.172786333333335,3.7453494717499862,5.370199,3,2,7.060957013573371,-1.9048044754907238
2022-07-15,5.454860666666669,3.6760664678355877,8.109726,4,2,7.382144046136233,-3.2796499741679455
2022-07-16,6.144326666666668,3.7301509611602013,4.953055,5,2,7.732410974918892,0.8932095030965264
2022-07-17,6.380235000000002,3.7514794813727543,6.077924,6,2,8.069451604414882,-0.49172826126524144
2022-07-18,5.914632666666669,3.740280998622913,6.712919,0,2,8.370091108255453,-0.17901673857888872
2022-07-19,7.124123000000002,3.7316304798227327,8.581526,1,2,8.625197969757828,-1.2164172303127108
2022-07-20,8.605717,3.5450553778447564,10.522706,2,2,8.83584200922918,0.7468847714085786
2022-07-21,10.196158333333335,3.597813380343435,11.484243,3,2,8.994135159484836,1.7470617354708096
2022-07-22,11.550756666666667,3.535802911929932,12.645321,4,2,9.093549638318084,1.9944251131841237
2022-07-23,12.748159666666668,3.6165506002576207,14.114915,5,2,9.132410896701936,1.9969094264115161
2022-07-24,12.977965666666668,3.65220113022208,12.173661,6,2,9.111484719146034,-0.20411398115248916
2022-07-25,10.873501000000003,3.678461280623702,6.331927,0,2,9.039909329253625,0.08830683958058233
2022-07-26,8.847659000000002,3.6806367774223676,8.037389,1,2,8.931612129356006,-1.1362940781451523
2022-07-27,7.601869333333336,3.6149429896553653,8.436292,2,2,8.812823293032306,-1.9645808854867868
2022-07-28,7.232907000000002,3.6187825400604154,5.22504,3,2,8.704624769476553,-0.15951219283426551
2022-07-29,6.936500666666668,3.5920651078201167,7.14817,4,2,8.613903240212137,-2.294761838916821
2022-07-30,6.7490276666666675,3.588468871101039,7.873873,5,2,8.547322728616944,-0.7412700825859094
2022-07-31,7.922332333333334,3.483425908127941,8.744954,6,2,8.520729001671604,-1.5522904874927244
2022-08-01,7.341819333333334,3.2120936008853036,5.406631,0,2,8.539442713635937,0.5763238337032103
2022-08-02,7.535411666666668,3.09325401875713,8.45465,1,2,8.594461141066178,1.1355662245620786
2022-08-03,7.045558000000002,3.078792780877671,7.275393,2,2,8.674970995975379,2.4767987363710784
2022-08-04,8.992811000000001,2.702220124242294,11.24839,3,2,8.78345639146038,3.734850543288625
2022-08-05,11.345225000000001,3.028640080539672,15.511892,4,2,8.934462787158944,0.6583202184240037
2022-08-06,13.171617333333336,3.1471196328945625,12.75457,5,2,9.12058583289338,0.1618181969281155
2022-08-07,11.919843666666667,3.0879838784963902,7.493069,6,2,9.321285192419767,-0.4785152165152829
2022-08-08,8.545349666666668,3.1071478281939724,5.38841,0,2,9.541982241978848,-0.34836537040527593
2022-08-09,6.350009666666668,3.1190686184015104,6.16855,1,2,9.808655627917464,-1.529235307087568
2022-08-10,7.571653666666667,3.121847215855116,11.158001,2,2,10.13636440138353,-3.938820673586744
2022-08-11,7.728923000000002,3.0627971017192728,5.860218,3,2,10.525973302503349,-1.0824988561165523
2022-08-12,8.267126333333335,2.8836894166347653,7.78316,4,2,10.941443005956287,-2.3295258014314286
2022-08-13,7.577590000000001,2.8207203396780196,9.089392,5,2,11.337600794252849,0.40266768501097305
2022-08-14,9.506692666666668,2.869067591137508,11.647526,6,2,11.688750710018763,0.6270505428449039
2022-08-15,11.333044000000001,2.8849048892787588,13.262214,0,2,11.96635957831998,2.873200279542902
2022-08-16,12.69386666666667,2.9202639534395223,13.17186,1,2,12.13525576256865,4.735940434343059
2022-08-17,13.764278000000003,3.0451852326200837,14.85876,2,2,12.174026999877391,1.5838993407611703
2022-08-18,14.332881000000002,3.1915997370258222,14.968023,3,2,12.105522744707388,-0.012215636531094719
2022-08-19,15.826467333333335,3.4974673518048385,17.652619,4,2,11.972539994101027,-0.8406739061104258
2022-08-20,16.05637666666667,3.6312685947504053,15.548488,5,2,11.787658321906733,0.6857832232113434
2022-08-21,17.767762333333337,4.03817563079987,20.10218,6,2,11.524592384080517,-1.6350350503951625
2022-08-22,14.32071166666667,4.015050675222407,7.311467,0,2,11.1589296208864,-4.369199260053592
2022-08-23,10.286911333333338,4.180071214278996,3.447087,1,2,10.676093390520004,-1.1544563864222992
2022-08-24,6.755074333333336,4.126149697143592,9.506669,2,2,10.089260529469392,-2.592535769941601
2022-08-25,6.40431366666667,4.16813899648341,6.259185,3,2,9.440041712581293,-0.040396958223466874
2022-08-26,8.36371066666667,4.160095759512339,9.325278,4,2,8.790405535069203,0.6262654863979674
2022-08-27,7.928375000000003,4.077262501046099,8.200662,5,2,8.218487342412013,2.419012322317718
2022-08-28,9.627838333333335,4.044928010497516,11.357575,6,2,7.798459194965456,3.9746202491478724
2022-08-29,11.145766333333334,4.072920682925099,13.879062,0,2,7.570936195158172,1.1393454859842287
2022-08-30,10.867577333333335,4.100255136894644,7.366095,1,2,7.529271481309941,-0.3368913177115137
2022-08-31,8.41217366666667,4.167069438007913,3.991364,2,2,7.626185797068488,-0.7362087787813588
2022-09-01,5.62425966666667,4.2465952639935844,5.51532,3,3,7.798170853386855,3.00654505246816
2022-09-02,4.704965000000002,4.3376747797334065,4.608211,4,3,8.008758925012588,-0.7307912642490645
2022-09-03,5.225052000000002,4.411894190751769,5.551625,5,3,8.238555349308257,-3.5645918871673223
2022-09-04,4.850152000000002,4.396337265124455,4.39062,6,3,8.468919520119798,-1.0286720175494983
2022-09-05,5.987159000000002,4.363583232892271,8.019232,0,3,8.691901093209639,-2.4727090899749187
2022-09-06,6.416590666666669,4.375191446817726,6.83992,1,3,8.917763116721085,-0.022351266110782503
2022-09-07,8.333652000000003,4.310206289599568,10.141804,2,3,9.153628053251559,0.6514054608246422
2022-09-08,9.784991666666668,4.290375305745032,12.373251,3,3,9.376320580691388,1.0628369528488029
2022-09-09,12.566793666666669,4.3968936081388295,15.185326,4,3,9.529219990468084,2.102359663423488
2022-09-10,13.637152000000002,4.371820970798603,13.352879,5,3,9.563891405738373,-0.4738175944925216
2022-09-11,13.177533000000002,4.350960223636757,10.994394,6,3,9.45801518677655,-1.3612868112541527
2022-09-12,10.673859333333334,4.371753684202317,7.674305,0,3,9.230548801158209,-1.0927460078010434
2022-09-13,8.381927333333335,4.415106215612487,6.477083,1,3,8.942997500231941,4.199574293895415
2022-09-14,8.781115333333336,4.392474993944877,12.191958,2,3,8.662377000895752,2.136107431062221
2022-09-15,9.08953866666667,4.35812696988747,8.599575,3,3,8.460487360898195,-2.5489045819114695
2022-09-16,9.682133333333335,4.262472836620127,8.254867,4,3,8.422623639696159,-1.5624873618180644
2022-09-17,8.29122466666667,4.150065845118632,8.019232,5,3,8.595596077948054,-2.4937267136377312
2022-09-18,7.4687506666666685,3.8850859432968226,6.132153,6,3,8.965365496660013,1.029762443066529
2022-09-19,6.374182333333336,3.7498385746476095,4.971162,0,3,9.46804701613585,1.519800744089487
2022-09-20,5.8540110000000025,3.0833961688589078,6.458718,1,3,10.034844519815199,0.6438588183143419
2022-09-21,5.382321333333336,3.1453193668452792,4.717084,2,3,10.62973427023702,0.47886339953496393
2022-09-22,6.8881900000000025,3.0265345177496457,9.488768,3,3,11.229654979559706,-1.6201070045527528
2022-09-23,7.6139826666666695,3.019008856027972,8.636096,4,3,11.803787963265602,-1.3843515776133817
2022-09-24,9.573463666666669,3.0217807306122855,10.595527,5,3,12.317391736746824,-1.1566986503372687
2022-09-25,10.668042333333338,3.1203961003762437,12.772504,6,3,12.753133495202952,3.215707296263541
2022-09-26,16.292174333333335,4.392613370952281,25.508492,0,3,13.108051889351147,3.566791315776224
2022-09-27,20.138308000000006,4.981716946241351,22.133928,1,3,13.355247435114443,-2.4954627307480877
2022-09-28,20.16848366666667,4.954260413313195,12.863031,2,3,13.47353860429304,-1.8637650738215676
2022-09-29,15.215548000000004,4.942644608555258,10.649685,3,3,13.477566545763944,-2.6548670602883386
2022-09-30,11.617273000000003,4.837594389900439,11.339103,4,3,13.384220553513083,1.5535827881090525
2022-10-01,13.685621666666668,5.0503382899930775,19.068077,5,3,13.21417665594724,1.4700622789623918
2022-10-02,15.899182000000001,5.090956503558908,17.290366,6,3,13.005869629722746,0.11547168650550622
2022-10-03,15.61497366666667,4.998093112803533,10.486478,0,3,12.814699627298078,0.5700185967048366
2022-10-04,11.47842066666667,4.9133963807364545,6.658418,1,3,12.720999056371921,-0.6365663268574917
2022-10-05,8.218712000000002,4.924635399014382,7.51124,2,3,12.815708095614207,-0.2943761560958419
